Month/Year,State,TempMax,Temp,TempMin,FeelsLike,Humidity,Precipitation,PrecipitationType,Conditions,Description
10/2021,New York,68.6,63.0,57.5,62.9,70.2,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
10/2021,Pennsylvania,71.2,63.0,55.7,62.9,71.9,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
10/2021,Texas,84.4,72.8,62.9,73.2,64.0,0.2,rain,Clear,Clear conditions throughout the day.
10/2021,Washington,73.2,65.4,58.9,65.4,71.1,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
11/2021,California,63.1,53.5,45.7,53.3,84.6,0.0,rain,Clear,Clear conditions throughout the day.
11/2021,Connecticut,52.4,43.2,33.4,41.1,63.8,0.1,rain,Partially cloudy,Clear conditions throughout the day.
11/2021,Florida,70.7,56.4,43.6,56.1,69.8,0.0,rain,Clear,Clear conditions throughout the day.
11/2021,Georgia,56.6,44.7,35.9,42.9,79.8,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
11/2021,Maryland,54.8,47.8,40.4,45.8,64.4,0.0,rain,Clear,Clear conditions throughout the day.
11/2021,Michigan,46.3,39.0,31.9,34.1,70.4,0.0,rain,Partially cloudy,Clear conditions throughout the day.
11/2021,New York,53.2,47.4,41.0,44.9,56.2,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
11/2021,Pennsylvania,52.8,43.3,34.6,40.8,62.1,0.0,rain,Clear,Clear conditions throughout the day.
11/2021,Texas,72.1,60.1,49.6,59.9,66.2,0.1,rain,Clear,Clear conditions throughout the day.
11/2021,Washington,56.0,47.5,39.0,44.8,58.3,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
12/2021,California,51.5,45.8,40.3,43.8,88.7,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
12/2021,Connecticut,46.0,38.7,32.2,35.7,66.6,0.1,rain,"Rain, Partially cloudy",Clear conditions throughout the day.
12/2021,Florida,72.1,61.5,52.7,61.3,85.1,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
12/2021,Georgia,48.1,36.1,27.9,33.2,76.8,0.0,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
12/2021,Maryland,52.5,46.2,40.1,44.2,66.6,0.0,rain,Partially cloudy,Clear conditions throughout the day.
12/2021,Michigan,42.5,36.2,29.7,30.4,72.4,0.1,"rain, snow",Partially cloudy,Clear conditions throughout the day.
12/2021,New York,49.2,44.2,39.1,41.0,59.0,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
12/2021,Pennsylvania,50.0,42.5,35.3,40.0,62.5,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
12/2021,Texas,74.1,63.7,55.0,63.6,72.9,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
12/2021,Washington,54.9,47.1,39.9,44.8,59.8,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
